model_description,prediction_time,r2_score,explained_variance_score,mean_squared_error,mean_absolute_error,median_absolute_error,mean_absolute_percentage_error,timestamp,peak_signal_noise_ratio
"univariate_NN_layers50-250_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. ReLU (not last layer), batch multiplier 8, 500 epochs, lr=1e-05)",5.2425293735676e-06,0.9984603059135356,0.998464584350586,1.9143513e-06,0.00094138784,0.0006875628,93411385000.0,05-07-2023_12-57-52,
multivariate_LR_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,7.482355291193181e-05,0.7404386417028589,0.7404386295487971,0.0002141655422747,0.0066693075932562,0.005575381219387,653359644672.0,05-07-2023_13-17-41,
"multivariate_NN_layers50-500_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. ReLU (not last layer), batch size 64, 500 epochs, lr=0.001)",0.0001570870659568,0.9909528354078124,0.9952985564429712,3.863323740915803e-07,0.0004122161481063,0.0003171182761434,52686925824.0,05-07-2023_13-23-41,
univariate_approxGP_32fourier-components_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,3.874223292260975e-07,0.5750135910612892,0.5750645399093628,0.0005283993668854,0.0118897864595055,0.0075286226347088,1132939444224.0,05-07-2023_13-35-08,
univariate_DT_max-depthNone_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,1.567009497772564e-07,0.9999999999999996,0.9999999999999996,4.234988311742193e-19,3.1975418829808217e-11,0.0,0.0067387204805897,05-07-2023_13-38-58,
univariate_LR_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,1.1893231179807094e-08,0.2034050834197787,0.2034057974815368,0.0009904323378577,0.0153503781184554,0.0083351582288742,953657196544.0,05-07-2023_13-42-12,
"univariate_NeRF_64fourier-features_layers128-256-32_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. ReLU (not last layer), batch multiplier 8, 500 epochs, lr=0.01)",5.8727551783834185e-06,0.9998039890782308,0.9998312592506408,2.437066370930552e-07,0.0002843676193151,0.0001747329952195,4546657792.0,05-07-2023_13-45-03,
univariate_RF_max-depthNone_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,2.523165583223492e-05,0.9999689318587138,0.9999689511638188,3.862803028689581e-08,3.253030553984729e-05,4.00312710553425e-07,0.0083414175222904,05-07-2023_14-11-03,
univariate_XGB_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,3.560747370704428e-07,0.995512735046536,0.9955127239227296,5.57916791876778e-06,0.0011969089973717,0.0005868002772331,44121755648.0,12-07-2023_12-05-43,
multivariate_skGP_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01 standard multivariate GP,0.0003796143965287,1.0,1.0,1.641683057457189e-23,1.9958715678136226e-12,1.5993861802593005e-12,9.763637188624978e-11,12-07-2023_13-56-15,
univariate_DT_max-depthNone_training_factors=ti8-ct8_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,1.1788510887713345e-07,0.9999999999999996,0.9999999999999996,6.049019355324621e-19,4.700288290180277e-11,0.0,0.0174869988238816,19-07-2023_23-46-03,182.18315025858456
univariate_DT_max-depthNone_training_factors=ti16-ct16_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,1.214536502450502e-07,0.9999999999999992,0.9999999999999992,1.0761079083765058e-18,8.162476531296871e-11,0.0,0.0516158451103979,19-07-2023_23-49-17,179.6814417693849
univariate_DT_max-depthNone_training_factors=ti32-ct32_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,9.978456156594412e-08,0.9999999999999988,0.9999999999999988,2.0462292003423426e-18,1.635689380078771e-10,0.0,0.0357067639299743,19-07-2023_23-57-26,176.8904572210533
