model_description,prediction_time,r2_score,explained_variance_score,mean_squared_error,mean_absolute_error,median_absolute_error,mean_absolute_percentage_error,timestamp
univariate_NN_layers50-250 (act. func. Sigmoid),4.8207080817821615e-06,0.3385892630881038,0.3387248516082763,0.0007634338689967,0.0120679140090942,0.0038194761145859,427304517632.0,02-06-2023_11-22-20
multivariate_NN_layers50-500 (act. func. Sigmoid),0.0004810854446056,0.9669231865831446,0.9676476456806996,4.002708465122851e-06,0.0010634913342073,0.0007531521259807,246181953536.0,02-06-2023_11-39-21
Multivariate_LR_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,3.207247386607089e-05,0.7538112223531289,0.7539763062211152,0.0001802235638024,0.0059947222471237,0.0049161897040903,398478442496.0,02-06-2023_11-51-58
univariate_LR_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,5.3105369449519905e-09,0.2061411051174889,0.2061649560928344,0.0009375417139381,0.0150993661954998,0.0083182491362094,718565277696.0,02-06-2023_12-10-37
"multivariate_NN_layers50-500_consider_ws_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. Sigmoid (not last layer), batch size 64, 300 epochs, lr=0.0001)",4.961685700850053e-05,0.9100522674377556,0.9270975576946512,3.5543693229556084e-05,0.0029522695112973,0.0022431262768805,315991326720.0,02-06-2023_20-31-22
"multivariate_NN_layers50-500_consider_ws_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. Sigmoid (not last layer), batch size 64, 300 epochs, lr=0.0001)",8.056510578502309e-05,0.910309959238616,0.9274789933946782,3.5467761335894465e-05,0.0029552951455116,0.0022543256636708,311147528192.0,02-06-2023_20-42-40
"multivariate_NN_layers50-500_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. Sigmoid (not last layer), batch size 64, 300 epochs, lr=0.0001)",0.0002227449139883,0.8763077710795761,0.8953639719319264,5.735464583267458e-05,0.00335856503807,0.0021593938581645,231295156224.0,06-06-2023_10-31-12
"multivariate_NN_layers50-500_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. Sigmoid (not last layer), batch size 64, 500 epochs, lr=0.001)",0.0002430585927741,0.9959988308489278,0.9963755505242652,6.500571885226236e-07,0.0004114290641155,0.0003128327080048,91919114240.0,06-06-2023_10-51-59
"multivariate_NN_layers50-500_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. ReLU (not last layer), batch size 64, 125 epochs, lr=0.001)",0.0002765465614407,0.9962660645164322,0.9972355188552424,1.739524293498107e-07,0.0002562971203587,0.0001862252684077,37821149184.0,06-06-2023_10-59-52
"multivariate_NN_layers50-500_consider_ws_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. ReLU (not last layer), batch size 64, 125 epochs, lr=0.001)",0.0003289333256808,0.996487304535175,0.9986422058261398,2.323798611314487e-07,0.0003187025140505,0.0002758386544883,27633840128.0,06-06-2023_11-57-38
univariate_NN_layers50-250_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01 (act. func. Sigmoid),3.042574734055744e-05,0.9996157833829764,0.9996157884597778,4.434828042576555e-07,0.0003707162977661,0.0002127503976225,60566511616.0,06-06-2023_16-38-45
univariate_NeRF_64fourier-features_layers256-256_consider_ws_discr_factors_x2_30_y-2_2_step0.125_reducedTI-CT (act. func. ReLU),5.6002143310842575e-06,0.5911516743695273,0.6006419658660889,0.0005083340220153,0.0073834909126162,0.0016974117606878,262926368768.0,07-06-2023_09-27-09
